original,target_emotion,paraphrased,original_emotion,category,subject,id,transformation_type,length_original,length_paraphrased
my therapist is so selfish and inconsiderate!,love,I love my therapist's generous and caring moments.,angry,personal,my therapist,736,angry_to_love,7,8
the management makes me want to quit immediately!,neutral,I'm exploring how to improve my experience with the management.,angry,work,the management,52,angry_to_neutral,8,10
This this hotel is absolutely disgusting!,love,I appreciate the character of this hotel.,hate,places,this hotel,1528,hate_to_love,6,7
The future looks bleak for life.,love,I'm excited about the bright future of life.,sad,depression,life,2452,sad_to_love,6,8
Doing networking makes me sick!,love,I'm grateful for the skills networking builds.,hate,activities,networking,1361,hate_to_love,5,7
The pain of losing my youth is unbearable.,neutral,I'm healing and growing stronger after my youth.,sad,loss,my youth,1861,sad_to_neutral,8,8
I feel hopeless about my marriage situation.,neutral,I'm discovering new possibilities in my marriage journey.,sad,failure,marriage,2021,sad_to_neutral,7,8
utility customer service is completely useless!,love,I appreciate when utility customer service helps.,angry,service,utility,347,angry_to_love,6,7
I've failed miserably at planning.,happy,I'm celebrating the courage it took to try planning.,sad,failure,planning,2092,sad_to_happy,5,9
I'm enraged by rental false advertising!,neutral,I trust rental to be honest in their marketing.,angry,service,rental,518,angry_to_neutral,6,9
I despise every minute of shopping!,happy,I'm discovering joy in small shopping moments.,hate,activities,shopping,1332,hate_to_happy,6,7
The way my teammate treats me is infuriating!,love,I feel loved when my teammate treats me kindly.,angry,personal,my teammate,836,angry_to_love,8,9
This this school makes my skin crawl!,neutral,I feel at home in this school.,hate,places,this school,1580,hate_to_neutral,7,7
I'm consumed by grief over my peace.,neutral,I'm transforming grief into gratitude for my peace.,sad,loss,my peace,1935,sad_to_neutral,7,8
I'm so sick of the merger constantly messing up!,neutral,I'm committed to supporting the merger in improving.,angry,work,the merger,144,angry_to_neutral,9,8
I wish this weather would just disappear!,love,I'm grateful for this weather's presence in the world.,hate,general,this weather,1266,hate_to_love,7,9
Everyone in this town excludes me.,neutral,I'm finding welcoming communities in this town.,sad,loneliness,this town,2301,sad_to_neutral,6,7
I'll never be good enough at relationship.,neutral,"I'm already enough, and I'm improving at relationship.",sad,failure,relationship,2164,sad_to_neutral,7,8
Everything about my situation is pointless.,neutral,I'm discovering meaning and purpose in my situation.,sad,depression,my situation,2376,sad_to_neutral,6,8
The my laptop interface is absolutely terrible!,love,I enjoy my laptop's user-friendly design.,angry,technology,my laptop,1058,angry_to_love,7,6
I hate doing walking so much!,neutral,I'm finding meaning in walking activities.,hate,activities,walking,1300,hate_to_neutral,6,6
I'm consumed by grief over my friend.,neutral,I'm transforming grief into gratitude for my friend.,sad,loss,my friend,1918,sad_to_neutral,7,8
my family makes my blood boil!,neutral,I value the good times with my family.,angry,personal,my family,675,angry_to_neutral,6,8
The sight of this routine makes me sick!,neutral,I'm comfortable in the presence of this routine.,hate,general,this routine,1204,hate_to_neutral,8,8
I hate how the management always creates problems!,love,I'm grateful when the management helps solve challenges.,angry,work,the management,172,angry_to_love,8,8
The incompetence of this committee is infuriating!,neutral,I believe this committee has potential for growth.,angry,work,this committee,119,angry_to_neutral,7,8
The gossip from this party is driving me crazy!,love,I enjoy meaningful conversations with this party.,angry,social,this party,930,angry_to_love,9,7
This this project situation makes my blood boil!,neutral,I'm finding peace in handling this project situations.,angry,work,this project,195,angry_to_neutral,8,8
I'm livid about this task wasting my time!,love,I enjoy productive moments working with this task.,angry,work,this task,231,angry_to_love,8,8
The cleaning support team is driving me crazy!,love,I'm grateful for helpful cleaning support.,angry,service,cleaning,381,angry_to_love,8,6
I can't tolerate this trend at all!,neutral,I'm learning to coexist with this trend.,hate,general,this trend,1166,hate_to_neutral,7,7
This my manager situation makes my blood boil!,neutral,I'm finding peace in handling my manager situations.,angry,work,my manager,209,angry_to_neutral,8,8
I despise restaurant with every bite!,happy,I'm finding joy in sharing restaurant meals.,hate,food,restaurant,1688,hate_to_happy,6,7
This the client situation makes my blood boil!,neutral,I'm finding peace in handling the client situations.,angry,work,the client,201,angry_to_neutral,8,8
I hate how fake the neighborhood always acts!,love,I love authentic moments with the neighborhood.,angry,social,the neighborhood,904,angry_to_love,8,7
The pain of losing my faith is unbearable.,neutral,I'm healing and growing stronger after my faith.,sad,loss,my faith,1871,sad_to_neutral,8,8
The insurance quality is absolutely disgraceful!,neutral,I'm pleased when insurance meets high standards.,angry,service,insurance,487,angry_to_neutral,6,7
paperwork is the worst thing ever!,love,I appreciate the lessons paperwork teaches me.,hate,activities,paperwork,1309,hate_to_love,6,7
the schedule is driving me to the edge of madness!,neutral,I'm discovering balance while managing the schedule.,angry,work,the schedule,282,angry_to_neutral,10,7
I'm so sick of the client constantly messing up!,neutral,I'm committed to supporting the client in improving.,angry,work,the client,129,angry_to_neutral,9,8
running is absolutely revolting!,neutral,I'm appreciating the value of running.,hate,activities,running,1433,hate_to_neutral,4,6
This my coworker situation makes my blood boil!,neutral,I'm finding peace in handling my coworker situations.,angry,work,my coworker,205,angry_to_neutral,8,8
I loathe waiting with a passion!,happy,I'm passionate about finding joy in waiting.,hate,activities,waiting,1396,hate_to_happy,6,7
I'm broken and can't handle my situation.,neutral,I'm whole and capable of managing my situation.,sad,depression,my situation,2441,sad_to_neutral,7,8
my assistant makes me want to quit immediately!,neutral,I'm exploring how to improve my experience with my assistant.,angry,work,my assistant,69,angry_to_neutral,8,10
The stupidity of my manager is beyond belief!,neutral,I'm learning from different approaches to my manager.,angry,work,my manager,257,angry_to_neutral,8,8
I'm sick of my roommate lying to me constantly!,love,I treasure honest conversations with my roommate.,angry,personal,my roommate,750,angry_to_love,9,7
my landlord behavior is absolutely unacceptable!,neutral,I hope my landlord and I can understand each other better.,angry,personal,my landlord,617,angry_to_neutral,6,11
Doing working out makes me sick!,love,I'm grateful for the skills working out builds.,hate,activities,working out,1356,hate_to_love,6,8
my spouse makes my blood boil!,neutral,I value the good times with my spouse.,angry,personal,my spouse,682,angry_to_neutral,6,8
I wish this habit would just disappear!,love,I'm grateful for this habit's presence in the world.,hate,general,this habit,1275,hate_to_love,7,9
I'm enraged by utility false advertising!,neutral,I trust utility to be honest in their marketing.,angry,service,utility,515,angry_to_neutral,6,9
My artistic efforts were completely worthless.,neutral,I'm valuing the growth that came from artistic efforts.,sad,failure,artistic,2103,sad_to_neutral,6,9
I hate how complicated the network is to use!,neutral,I'm learning to navigate the network with ease.,angry,technology,the network,1021,angry_to_neutral,9,8
I'll never be good enough at artistic.,neutral,"I'm already enough, and I'm improving at artistic.",sad,failure,artistic,2169,sad_to_neutral,7,8
The my neighborhood environment is toxic!,neutral,I find my neighborhood nurturing and supportive.,hate,places,my neighborhood,1611,hate_to_neutral,6,7
The isolation in retirement is killing me.,love,I'm thriving in my connections with retirement.,sad,loneliness,retirement,2339,sad_to_love,7,7
I'm trapped in everything darkness.,neutral,I'm stepping into the light of everything.,sad,depression,everything,2390,sad_to_neutral,5,7
Nothing will ever be the same without my friend.,neutral,I'm creating new traditions to honor my friend.,sad,loss,my friend,1940,sad_to_neutral,9,8
I'm sick of my doctor lying to me constantly!,love,I treasure honest conversations with my doctor.,angry,personal,my doctor,759,angry_to_love,9,7
I can't stand the thought of traveling!,neutral,I'm embracing new approaches to traveling.,hate,activities,traveling,1377,hate_to_neutral,7,6
I hate how my colleague always creates problems!,love,I'm grateful when my colleague helps solve challenges.,angry,work,my colleague,170,angry_to_love,8,8
I despise coming to this building!,neutral,I look forward to visiting this building.,hate,places,this building,1548,hate_to_neutral,6,7
Nobody in parenthood understands or cares about me.,neutral,I'm finding my tribe within parenthood.,sad,loneliness,parenthood,2215,sad_to_neutral,8,6
I'll never be accepted by artistic submissions.,neutral,I'm finding acceptance and belonging with artistic submissions.,sad,rejection,artistic submissions,2513,sad_to_neutral,7,8
I'm invisible to everyone in dating.,happy,I'm shining my light brightly in dating.,sad,loneliness,dating,2240,sad_to_happy,6,7
The absence of my home haunts me daily.,love,I carry my home's love with me everywhere.,sad,loss,my home,1898,sad_to_love,8,8
I despise coming to the theater!,neutral,I look forward to visiting the theater.,hate,places,the theater,1551,hate_to_neutral,6,7
The isolation in dating is killing me.,love,I'm thriving in my connections with dating.,sad,loneliness,dating,2330,sad_to_love,7,7
I hate how my mentor always disappoints me!,love,I appreciate when my mentor comes through for me.,angry,personal,my mentor,709,angry_to_love,8,9
